term,freq
renafestival,4239
cambiamento,694
comunità,559
giovannini,216
cambiare,179
opendata,175
innovando,169
crowdfunding,150
innovazione,147
bisogno,143
bologna,127
parla,126
festival,122
d'elia,118
italia,108
abbiamo,106
cultura,105
streaming,102
nuova,101
imprese,100
tavolo,99
sharingeconomy,99
capitale,94
nuove,90
fanno,90
sanno,87
perché,87
enrico,86
costo,84
"cambiamento""",82
racconta,81
renafestival:,81
dobbiamo,78
rivoluzione,75
sharing,74
socialinnovation,70
cittadini,67
social,66
artigiani,66
annibale,65
sardex,65
differenza,64
storify,62
digitale,62
quoted,62
you've,62
"""#renafestival",62
story,62
quelle,61
possono,61
"renafestival,",59
scuola,59
renaf…,58
futuro,57
amministrazione,56
contenti,56
impatto,56
cambiamento.,54
moneta,54
devono,54
giovannini:,54
problema,53
impresa,53
socinn,52
bello,52
renafestival.,51
pubblica,50
caramelle,50
comincia,49
umano,48
comuni,48
piena!,48
economy,47
inizia,47
servono,45
culturale,45
senso,44
progetto,44
lavorare,43
dell'errore,42
soluzioni,42
istituzioni,42
scuole,42
politica,42
l'italia,41
valore,41
cambia,41
innovation,41
crisi,40
diretta,40
media,39
tavoli,39
"ibride,",39
l'innovazione,39
tante,39
creare,38
significa,38
società,37
renafestival!,37
nicchie,37
