term,freq
cambiamento,67
comunità,54
tavolo,36
festival,20
bologna,20
you've,19
story,19
been,19
storify,19
quoted,19
futuro,14
parla,14
giovani,13
parole,13
stai,12
comuni,11
cultura,11
innovando,11
governance,10
beni,10
amici,10
corpi,9
intermedi,9
scuola,9
policy,9
renacivici,9
bisogno,9
parola,9
crowdfunding,8
tavoli,8
workshop,8
scelto,8
ruraltrap,7
smartrurality,7
regole,7
innovazione,6
contenti,6
significa,6
coderdojo,6
territorio,6
partecipazione,6
frattempo,6
renaschool,6
davvero,6
racconta,6
risorse,6
ruraltrep,6
legalità,5
sharingeconomy,5
comunicazione,5
“progettorena,5
dedicato,5
community,5
domanda,5
tema,5
così,4
monitoraggio,4
lavori,4
collaborazione,4
costruire,4
possono,4
finanziare,4
gener,4
lunedì,4
filiera,4
cambiare,4
candidature,4
data,4
civico,4
sarà,4
2014,4
comune,4
collettiva,4
idee,4
contaminazione,4
